abstract,authors,n_citation,references,title,venue,year,id
,"['Shin Ya Abe', 'Youhua Shi', 'Kimiyoshi Usami', 'Masao Yanagisawa', 'Nozomu Togawa']",0,"['04159258-4dfc-45f4-8ee8-5709e9700049', '09f5b4c5-749f-44af-a344-95b6649f865d', '0edecf81-0f08-4776-b6c8-28af24e90938', '1fa8f2c3-c80d-4858-8cbe-92097ed75838', '23ae56b1-cb0f-409c-bc71-2d6b38e33c05', '2a03ce5d-b310-40e8-8a50-feb10a0d4d3c', '54cfebb8-bd74-4d64-8b68-1e0aab9c4789', '5d32dfe2-26f3-46de-a4b8-f77bbe619d79', '7ef420fa-f08c-4fbd-9eba-b8be502043ae', '8d23b962-3f0d-40b1-b62a-fdbabba54796', '8ee4b08b-ecb8-419d-b826-ff759e5097a5', '93c180d7-8326-4daf-8dc1-4c90ce464ce0', 'aa0bc212-9e97-4c50-b612-a4a587f684ca', 'aceb5189-b0c8-493d-9f51-515758932fbf', 'b686e4c3-64d8-488b-9b9d-e2164dc2617c', 'bc062a0f-5145-4777-9b8d-9812e7e260ef', 'cb67ae33-1ea4-438f-8925-5c57d368fdf9', 'd228867f-8119-42f2-ac72-f4397cb6e446', 'd4157e5c-2577-421b-bf13-0e8ef686abdd', 'ede8196e-c302-411b-883c-4fff2c934c8a']",Floorplan driven architecture and high-level synthesis algorithm for dynamic multiple supply voltages,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",2013,4ab90243-f09f-4a20-bfe8-37e199ff6c95
"In this paper, we present a feedback implosion suppression (FIS) algorithm that reduces the volume of feedback information transmitted through the network without relying on any collaboration between users, or on any infrastructure other than the satellite network. Next generation satellite systems that utilize the Ka frequency band are likely to rely on various fade mitigation techniques, in order to guarantee a service quality that is comparable to other broadband technologies. User feedback would be a valuable input for a number of such components, however, collecting periodic feedback from a large number of users would result in the well-known feedback implosion problem. Feedback implosion is identified as a major problem when a large number of users try to transmit their feedback messages through the network, holding up a significant portion of the uplink resources and clogging the shared uplink medium. In this paper, we look at a system where uplink channel access is organized in time-slots. The goal of the FIS algorithm is to reduce the number of uplink time-slots hold up for the purpose of feedback transmission. Our analysis show that the FIS algorithm effectively suppresses the feedback messages of 95% of all active users, but still achieves acceptable performance results when the ratio of available time-slots to number of users is equal to or higher than 5%","['Gun Akkor', 'John S. Baras', 'Michael H. Hadjitheodosiou']",6,"['9add51af-3554-4428-ba52-099f90a32018', '9deccd15-5e3f-4230-b813-b91256b7177c', 'db1f0093-d5e6-4fa4-a5be-2a918055737f', 'df15508d-da3a-4c20-9d4a-cd149109cbb3']",A multiple subset sum formulation for feedback implosion suppression over satellite networks,global communications conference,2005,4ab91a94-3bc6-4604-ae86-a69926e8b43f
"Random geometric graphs (RGG) contain vertices whose points are uniformly distributed in a given plane and an edge between two distinct nodes exists when their distance is less than a given positive value. RGGs are appropriate for modeling ad hoc networks consisting of n mobile devices that are independently and uniformly distributed randomly in an area. To the best of our knowledge, this work presents the first paradigm to compute the subgraph probability of RGGs in a systematical way. In contrast to previous asymptotic bounds or approximation, which always assume that the number of nodes in the network tends to infinity, the closed-form formulas we derived herein are fairly accurate and of practical value. Moreover, computing exact subgraph probability in RGGs is shown to be a useful tool for counting the number of induced subgraphs, which explores fairly accurate quantitative property on topology of ad hoc networks.",['Chang Wu Yu'],5,"['07dbc8df-6347-4dc5-a9ae-a4d8ab334fc2', '09b8b840-7c8c-4aaf-9756-200354d1a125', '0b42aed7-4b33-499a-811e-5a85a45f48fb', '0c3aa16c-7eb8-4c5d-a693-fc31e3370c39', '14b569bb-cf5d-4f06-9bbe-a2f97a6c42cb', '1b0eabc4-68ee-432f-9d60-bee2ac2d4af7', '2cb634d9-7367-471e-9553-4f70279db30c', '315277c8-92d8-47e0-b3ce-767b5d94337f', '3236c00b-3ebe-4906-9753-101621e12389', '3972f766-3df3-4117-a302-a9a50349373f', '5e009ebc-78be-4d75-93da-b865debf2385', '6177aa78-da80-4f40-99b7-f132e07727cf', '6a7ce1b5-fcee-4a2a-8bc0-5ce9dbf09fcc', '6cceddf5-a9da-4383-879b-6d260f4faae7', '801e8a45-e3f1-4a83-aebc-881138683e78', '8f6b5d9c-b86d-4bd1-92de-789fbaa37027', '9c0bea1b-954a-4523-af28-0b56ed7a7aed', 'cbb0b85f-c11c-40d7-bf79-6b4b15f38f89', 'd81820fc-5dec-41ae-912f-9309dd9f45db', 'f2b582bb-2882-40ac-ad9c-d29f3cdae3de']",Computing subgraph probability of random geometric graphs with applications in quantitative analysis of ad hoc networks,IEEE Journal on Selected Areas in Communications,2009,4ab924c6-2ae5-4456-a7a6-a7349187a7d4
,"['Willard L. Eastman', 'Shimon Even']",0,['bddb9051-acc8-4eb0-b770-6fbb8ca5871f'],Some further results on synchronizable block codes (Corresp.),IEEE Transactions on Information Theory,1966,4ab93ae9-278c-468d-8077-371bfedb576a
"In this paper, we propose a content-aware retry limit adaptation scheme for video streaming over IEEE 802.11 wireless LANs (WLANs). Video packets of different importance are unequally protected with different retry limits at the MAC layer. The loss impact of each packet is estimated to guide the selection of its retry limit. More retry numbers are allocated to packets of higher loss impact to achieve unequal error protection. Experimental results show that the proposed adaptation scheme can effectively mitigate the error propagation due to packet loss and assure the on-time arrival of packets for presentation, thereby improving video quality significantly.","['Chih-Ming Chen', 'Chia-Wen Lin', 'Yung-Chang Chen']",50,"['6b1b6658-5e5c-4e6a-8254-57c8d00fd4bd', '8bbf641d-b6a2-4d85-a715-e36cec813df9', '9b8c22ef-d8f8-4e04-b911-410120125826']",Unequal Error Protection for Video Streaming Over Wireless LANs using Content-Aware Packet Retry Limit,international conference on multimedia and expo,2006,4ab944df-bc19-49e5-90e0-34bf9083a4a8
"Background#R##N#Recovering the structure of ancestral genomes can be formalized in terms of properties of binary matrices such as the Consecutive-Ones Property (C1P). The Linearization Problem asks to extract, from a given binary matrix, a maximum weight subset of rows that satisfies such a property. This problem is in general intractable, and in particular if the ancestral genome is expected to contain only linear chromosomes or a unique circular chromosome. In the present work, we consider a relaxation of this problem, which allows ancestral genomes that can contain several chromosomes, each either linear or circular.","['Ján Maňuch', 'Murray Patterson', 'Roland Wittler', 'Cedric Chauve', 'Eric Tannier']",27,"['17d10d56-7e5a-40fd-9e53-16aa91b13313', '2726e293-9509-487a-a223-736d0e7ce8eb', '3b28993e-6296-4574-8713-961e0f9ea6b4', '3de2a597-07e3-4ea2-bfd7-a50e0b08b108', '7223f858-05dd-429f-9356-2bce4e35fbd7', '75acd9ed-813f-4a26-89ef-f026be2cdeb2', '76ac822a-2760-4f08-8a95-5279c6e4d9b5', '79f4763e-2e56-486b-bc6b-aa442c0de9a6', '7ad1d77c-449c-4e15-8ee7-8d3a228b1ac9', '8d77026f-2f9b-4060-bc28-8375d99c221c', 'ab0e4d71-7054-4354-ab1e-b4307653cf1b', 'b2b3bcda-afd5-4037-9b50-3f56d0fa630a', 'b4592920-2c24-4486-857a-7b827000bca5', 'bdcef3ed-f124-4365-9e5d-b5189c15e39f', 'c5b57efd-96d2-4ea1-b696-42e37d91f0ed', 'e880c683-5a8d-47b8-8218-c3741032c5b6', 'e89344e0-a0af-46e8-9604-6f1c8235efbe', 'ebf009ba-176e-4bfa-a4f9-206d40898693', 'f5ed82c7-d512-470c-806c-eb10601f5fc9', 'f65f2813-3373-443d-89b9-2d0c612d5a68', 'fa15b915-8c6c-4425-ba7c-39f16d2235f4']",Linearization of ancestral multichromosomal genomes.,BMC Bioinformatics,2012,4ab959b8-6518-472b-9f57-62ce659147eb
"Today's computationally able mobile devices are capable of acting as service providers as opposed to their traditional role as consumers. To address the challenges associated with the development of these mobile services, we have developed Odin, a middleware which masks complexity, allowing rapid development of mobile services. Odin, however, does not allow cross-platform development, which is an important concern with today's wide variety of mobile devices. To solve this problem, we have designed Odin Tools - a model-driven toolkit for cross-platform development of mobile services. Leveraging appropriate metamodels, a prototype has been implemented in Eclipse and Marama that allows developers to model mobile services in a platform-independent manner. We are currently working on transformations between levels of the model hierarchy which will allow full Odin-based service implementations to be generated automatically.","['Andrew Meads', 'Ian Warren']",50,"['0bea1473-e2f8-4e71-9595-6c89546a7566', '151cd8e5-7843-464e-8a7d-c4e24d389a49', '24e27f74-105f-4962-bafd-18213900b53d', '49bb9b70-40a5-4ad3-bdfb-bcb9bc6356bb', '56a8b77b-31f2-4b91-8cba-5b5620a11007', '60979992-0dd4-487d-80f4-b9318662b8d8', '74c7dee1-9c82-4956-b3a2-c6ff992fa4fc', '9281b37f-0fcc-4c9f-8569-b6cca2306514', '93cb9069-4644-4291-a77d-6cdf1ed9ada9', '95220f17-d29c-49ee-b556-96ca8624fc0b', '9f152998-e255-474c-aaf6-642eeaa548bb', 'a3fb05c9-0687-4582-95a2-ec2bbc572bf8', 'a56cefbb-fa02-4049-bad8-fef30f926d20', 'bc31f45a-2d7e-4f1e-8a13-8f12dfd74209', 'e8b25286-46d2-40d9-ba7a-a170f83711ce', 'f05e8be4-07f2-45d5-a46e-578555a9ff2e', 'fbd2ffd8-0839-4842-804f-2ff6c1276377']",OdinTools--Model-Driven Development of Intelligent Mobile Services,,2011,4ab9608a-d7ea-43a4-a764-0293b9f179ea
"In recent years many studies have been published on the assessment of payoffs from investments in IT. The research has produced mainly mixed results. Different explanations can be given for these mixed results. One possible explanation might be the dominance of the rational perspective in previous research. The consequence of this overemphasis on rationality is that the social political nature of the IT investment process has largely been neglected in previous research on IT business value. This omission produces an incomplete picture and might contribute to the conflicting empirical results. In this research we studied whether and how the socio political perspective can be used to explain the mixed results. Case study research was used to test whether the attitude towards the value of IT, destructive conflict, and a low level of trust influence the relationship between IT investments and business performance.","['Diana Hoogeveen', 'Hans Oppelland']",50,"['004050d0-c5b4-4721-bd2c-f13b8ca8dcb5', '0d2ae8a3-f03c-467f-9806-5ea295478fde', '1d13bb3f-b6b6-43c6-a3c9-442e780af17c', '1dfaf309-ab99-4bc2-9332-aff7222c1d7d', '2d923c22-981b-4a50-8406-f2265601a4ff', '36b56ea0-6e82-4427-95ef-3b4b4d5980ff', '59b7757d-056f-4af6-b7c7-bdd99cca2072', '5e6ba10f-32c8-45c5-8e2d-52f5fc53c5f5', '7da2811c-a6df-4fd7-8c30-712957115c82', '8569a13d-e4de-41e7-85a5-b3eb6843fe52', 'a1fbcf87-8498-44de-8adc-4a6a7803dae0', 'aa24859d-1343-4cb2-b912-a458c6b488ca', 'b541380f-8e36-4fd8-91b3-04cf1f8d2736', 'ca8ceae7-35b3-4a07-93db-290b1660def6']",A socio political model of the relationship between IT investments and business performance,hawaii international conference on system sciences,2002,4ab9726b-6ad9-4f1d-b4e9-1b759ade7754
"Software metrics proposed and used for procedural paradigm have been found inadequate for object oriented software products, mainly because of the distinguishing features of the object oriented paradigm such as inheritance and polymorphism. Several object oriented software metrics have been described in the literature. These metrics are goal driven in the sense that they are targeted towards specific software qualities. We propose a new set of metrics for object oriented programs; this set is targeted towards estimating the testing efforts for these programs. The definitions of these metrics are based on the concepts of object orientation and hence are independent of the object oriented programming languages. The new metrics set has been critically compared with three other metrics sets published in the literature.","['Kasilingam Periyasamy', 'X. Liu']",50,"['24cbcdb6-3d6f-41fa-855a-0166b7060852', '3354c06c-90ee-44b2-9564-13d604c95f51', '38b6264c-733c-41b1-ac26-0d886db2907c', '3dcb7e06-b5b4-4944-ab13-2f0c0a655360', '57af1f08-da6a-466f-97a2-99e98a992768', '5821b7ac-4676-45fb-aff8-e9ff3e295f60', '65b2fe21-61a7-46d3-9c0a-b861c380ac26', 'a2841161-6610-416e-aa69-b8b71757d106', 'bcc6abd1-4e38-4d2b-a591-6a6614dd1302', 'c210fdae-8472-44d8-88a2-314316700e05', 'd1641855-866e-4b35-b5e7-5ba1415b1eb0', 'd32786fc-ea8d-41f0-a803-5d00e550329c', 'e6b37806-0ffc-4a1a-9f87-a6749a4d1ebb']",A new metrics set for evaluating testing efforts for object-oriented programs,,1999,4ab9752c-f765-4af8-bc70-77a00a8789f9
"In this paper, we present the design and implementation of Ovid, a browser for grid-related information. The key goal of Ovid is to support the seamless navigation of users in the grid information space. Key aspects of Ovid are: (i) a set of navigational primitives, which are designed to cope with problems such as network disorientation and information overloading; (ii) a small set of Ovid views, which present the end-user with high-level, visual abstractions of grid information; these abstractions correspond to simple models that capture essential aspects of a grid infrastructure; (iii) support for embedding and implementing hyperlinks that connect related entities represented within different information views; (iv) a plug-in mechanism, which enables the seamless integration with Ovid of third-party software that retrieves and displays data from various grid information sources; and (v) a modular software design, which allows the easy integration of different visualization algorithms that support the graphical representation of large amounts of grid-related information in the context of Ovid's views.","['Marios D. Dikaiakos', 'Artemakis Artemiou', 'George Tsouloupas']",0,"['13ca496a-e8a1-4c1b-95c4-f3b3b6107a13', '2dbb7c91-8240-48f2-83c8-c8b521d4efa1', '5cd52c18-0093-4084-a040-d35eae75bc02', '69e0da66-a82d-4600-9522-2b4873666c49', '6a315ac5-883c-4e39-b87b-81bb468a4b32', '914e0245-e455-45da-88f5-c623aa1a320d', '93466870-bfbb-4aa0-9574-32d57ff5c6c2', 'c2f67467-3138-4d37-a743-10340dc3ea44', 'd3f34b19-ce9c-4dc6-a1d1-76890e2605f0', 'ee336498-d950-4265-b117-b6a086a55bc0', 'ef3c6a45-177c-4181-bcc0-62cca156ce4d', 'f2c340d9-7784-46ea-b447-77f1875ec4ca']",Towards a universal client for grid monitoring systems: design and implementation of the Ovid browser,international parallel and distributed processing symposium,2006,4ab9889c-753e-4de9-9fbf-865ed786c1f4
